titulo,preco,bairro,area,quartos,banheiros,vagas,finalidade,fonte,link
"Casa à venda no bairro Vila Eulália, 3 quartos, área gourmet, Petrolina-PE",400000.0,Antonio Cassimiro,93.0,2,2,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-bairro-vila-eulalia-3-quartos-area-gourmet-petrolina-pe-1527649257
APARTAMENTO PARA VENDA NO CENTRO PETROLINA .,270000.0,Centro,80.0,3,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-para-venda-no-centro-petrolina-1527547609
CASA PARA VENDA 03 QUARTOS - LOT RECIFE,340000.0,Loteamento Recife,100.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-para-venda-03-quartos-lot-recife-1527547610
CASA TÉRREA | 4 SUÍTES | BUONA VITA0,1100000.0,Centro,200.0,4,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-terrea-4-suites-buona-vita0-1527546642
Casa de Alto Padrão no Condomínio Buona Vita | 3 Quartos | Piscina | 153 m²,999000.0,Centro,200.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-de-alto-padrao-no-condominio-buona-vita-3-quartos-piscina-153-m-1527540780
"Casa à venda no Centro de Petrolina, 2 terrenos, 3 quartos, cozinha, Petrolina",650000.0,Centro,275.0,3,1,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-centro-de-petrolina-2-terrenos-3-quartos-cozinha-petrolina-1527539208
RARA OPORTUNIDADE NO CONDOMÍNIO SOL NASCENTE | ÁREA CENTRAL,950000.0,Centro,200.0,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/rara-oportunidade-no-condominio-sol-nascente-area-central-1527532540
LLinda casa a venda no Vale das Mangueiras ,600000.0,Cohab Sao Francisco,144.0,3,3,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/llinda-casa-a-venda-no-vale-das-mangueiras-1527539104
"Casa térrea, próximo ao Bodódromo",680000.0,Loteamento Recife,,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-terrea-proximo-ao-bododromo-1527430027
Apartamento disponível para venda no Edf Monte Carlo.,1500000.0,Atras Da Banca,198.0,4,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-disponivel-para-venda-no-edf-monte-carlo-1507131647
Apartamento disponível para venda no Edf Rio Ipanema,850000.0,Vila Eduardo,110.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-disponivel-para-venda-no-edf-rio-ipanema-1507031372
Apartamento Residencial Brasil,55000.0,Cohab Sao Francisco,,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-residencial-brasil-1527304572
"Casa, Residencial, Vila Eulalia, 3 dormitório(s), 2 vaga(s) de garagem",406600.0,Vila Eulalia,200.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-residencial-vila-eulalia-3-dormitorio-s-2-vaga-s-de-garagem-1511128964
Venda condomínio carlos Wilson ,365000.0,Fernando Idalino,69.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/venda-condominio-carlos-wilson-1442845185
APARTAMENTO NA ORLA 03 QUARTOS- LOCALIZAÇÃO EXCELENTE,1500000.0,,145.0,1,1,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-na-orla-03-quartos-localizacao-excelente-1527183925
"Apartamento à venda no Condomínio Vila Nobre, 3 quartos, planejados, Petrolina",650000.0,Centro,80.0,2,2,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-a-venda-no-condominio-vila-nobre-3-quartos-planejados-petrolina-1527176296
"Casa à venda no Lot. Colina do Rio, 3 quartos, sendo 01 suíte, closet, Petrolina",570000.0,Distrito Industrial,154.0,2,2,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-lot-colina-do-rio-3-quartos-sendo-01-suite-closet-petrolina-1527176313
Apartamento á venda no Edf Jose Mororó,900000.0,Centro,110.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-a-venda-no-edf-jose-mororo-1527162140
"Apartamento disponível para venda, Edf Prime Residence.",550000.0,Atras Da Banca,65.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-disponivel-para-venda-edf-prime-residence-1527160712
Imóvel para venda possui 80 metros quadrados com 3 quartos em Vila Eduardo - Petrolina - P,630000.0,Vila Eduardo,80.0,3,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-para-venda-possui-80-metros-quadrados-com-3-quartos-em-vila-eduardo-petrolina-p-1527095016
Casa no Loteamento Boa Vista,380000.0,Jatoba,125.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-loteamento-boa-vista-1525522625
Casa no Cond. Buona Vita,1150000.0,Boa Esperanca,144.0,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-cond-buona-vita-1527077037
Casa no terras do sul - disponível para negociação,135500.0,Terra Do Sul,,2,1,4,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-terras-do-sul-disponivel-para-negociacao-1526972352
 casa venda condomínio alto padrão ,1990000.0,Fernando Idalino,198.0,4,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-venda-condominio-alto-padrao-1401271563
Casa pra venda na Areia Branca,350000.0,Dom Avelar,,4,3,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-pra-venda-na-areia-branca-1526899109
CASAS AVALIADAS PELA CAIXA MCMV - 3 QUARTOS COM 1 SUÍTE,255000.0,Antonio Cassimiro,,3,2,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casas-avaliadas-pela-caixa-mcmv-3-quartos-com-1-suite-1525303811
Casa,200000.0,Areia Branca,200.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-1526806366
Casa em Condomínio Monte Carlo,510000.0,Centro,156.0,2,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-em-condominio-monte-carlo-1524993150
Casa a venda Lot. Vale Dourado ,250000.0,Joao De Deus,220.0,4,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-lot-vale-dourado-1526577886
Imóvel para venda com 110 metros quadrados com 3 quartos em Vila Eduardo - Petrolina - PE,620000.0,Vila Eduardo,70.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-para-venda-com-110-metros-quadrados-com-3-quartos-em-vila-eduardo-petrolina-pe-1518907322
"VENDO APARTAMENTO NA VILA MOCÓ, PETROLINA-PE.",450000.0,Vila Moco,,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vendo-apartamento-na-vila-moco-petrolina-pe-1494154338
CASA À VENDA NO LOTEAMENTO SÃO JOSÉ DE CASTRO.,260000.0,Sao Jose,,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-venda-no-loteamento-sao-jose-de-castro-1493344909
"Casa à venda, 3quartos, 1suite e piscina. Bairro Padre Cícero, Petrolina/PE",440000.0,Dom Avelar,200.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-3quartos-1suite-e-piscina-bairro-padre-cicero-petrolina-pe-1526446160
Casa a venda ,250000.0,Alto Do Cocar,120.0,2,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-1526432823
CASA NO JD PETRÓPOLIS EM PETROLINA PE R$ 120.000,120000.0,Centro,,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-jd-petropolis-em-petrolina-pe-r-120-000-1526369019
Imóvel para venda com 100 metros quadrados com 3 quartos em Centro - Petrolina - PE,440000.0,Centro,100.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-para-venda-com-100-metros-quadrados-com-3-quartos-em-centro-petrolina-pe-1526313500
Imóvel a venda no Gercino Coelho (REPASSE),347000.0,Gercino Coelho,260.0,3,2,3,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-a-venda-no-gercino-coelho-repasse-1526288333
CASA A VENDA - 03 QUARTOS - ATRAS DA BANCA,1100000.0,Atras Da Banca,176.0,1,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-03-quartos-atras-da-banca-1526194207
Apto 3 minutos do Hospital da Unimed ,380000.0,Fernando Idalino,,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apto-3-minutos-do-hospital-da-unimed-1526191941
"Casa com 2 quartos, 2 salas, cozinha, banheiro ,área de serviço, ponto, garagem e quintal ",140000.0,Joao De Deus,,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-com-2-quartos-2-salas-cozinha-banheiro-area-de-servico-ponto-garagem-e-quintal-1526188020
"Casa à venda no Cond. Colinas Bela Vista, 3 suítes com closet, gourmet, piscina",1290000.0,Boa Esperanca,171.0,3,4,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-cond-colinas-bela-vista-3-suites-com-closet-gourmet-piscina-1526184576
Casa Térrea à Venda  no Condomínio Alphaville com 3 quartos (Porteira Fechada),1900000.0,Boa Esperanca,,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-terrea-a-venda-no-condominio-alphaville-com-3-quartos-porteira-fechada-1526071707
Casa a Venda no Condomínio Sol Nascente Orla - Petrolina ,1650000.0,Jatoba,,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-condominio-sol-nascente-orla-petrolina-1492357903
Duplex disponível para venda no Bairro Jardim Amazonas.,700000.0,Jardim Amazonas,150.0,4,4,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/duplex-disponivel-para-venda-no-bairro-jardim-amazonas-1526060203
"APARTAMENTO À VENDA NO EDIFÍCIO RIO TERRA NOVA, PETEOLINA (PE) ",620000.0,,104.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-venda-no-edificio-rio-terra-nova-peteolina-pe-1419811725
Condomínio Edifício Marina,650000.0,Cidade Universitaria,120.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/condominio-edificio-marina-1525920431
"Casa com 3 suíte à venda no BUONA VITA, sala de estar, sala de jantar",1350000.0,Loteamento Recife,160.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-com-3-suite-a-venda-no-buona-vita-sala-de-estar-sala-de-jantar-1525871393
Casa de Alto Padrão no Condomínio Buona Vita | 3 Quartos | Piscina | 153 m²,1000000.0,Centro,200.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-de-alto-padrao-no-condominio-buona-vita-3-quartos-piscina-153-m-1525804433
ALTO PADRÃO NO CONDOMÍNIO ECO SPA,2200000.0,Centro,570.0,5,4,4,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/alto-padrao-no-condominio-eco-spa-1525775036
casa a venda vila nova 1 Petrolina ,280000.0,Loteamento Recife,75.0,2,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-vila-nova-1-petrolina-1481148498
Casa no Bairro dom avelar,180000.0,Dom Avelar,100.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-bairro-dom-avelar-1523792579
Casa no Portal da cidade,450000.0,Portal Da Cidade,240.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-portal-da-cidade-1524087842
Cond. Terras Alphaville Petrolina,2950000.0,Boa Esperanca,286.0,4,5,3,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/cond-terras-alphaville-petrolina-1524082942
Casa no Condomínio Buona Vita  Fase 2,1100000.0,Boa Esperanca,135.0,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-buona-vita-fase-2-1522791329
Casa à venda Alto do Cocar,859000.0,Alto Do Cocar,200.0,3,3,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-alto-do-cocar-1523706375
Casa à  Venda No Santa Luzia,240000.0,Dom Avelar,100.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-santa-luzia-1523700958
Casa no condomínio Terras Alphaville - Petrolina,2950000.0,Boa Esperanca,268.0,4,5,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-terras-alphaville-petrolina-1523798592
Casa dentro de condomínio com 03 quartos à venda em Petrolina/PE!,1600000.0,Boa Esperanca,190.0,3,3,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-dentro-de-condominio-com-03-quartos-a-venda-em-petrolina-pe-1473449501
Imóvel bem localizado no Bairro Vila Eulália ,699000.0,Cohab Sao Francisco,180.0,3,3,4,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-bem-localizado-no-bairro-vila-eulalia-1525697892
"Uma casa para quem não abre mão de espaço, conforto e exclusividade.",2000000.0,Centro,250.0,4,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/uma-casa-para-quem-nao-abre-mao-de-espaco-conforto-e-exclusividade-1525645502
CASA À VENDA EM PETROLINA ?,570000.0,Distrito Industrial,154.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-venda-em-petrolina-1525634353
"CASA  AMPLA COM 154 M² DE ÁREA CONSTRUÍDA NO BAIRRO COLINA DO RIO, PETROLINA-PE",570000.0,Cohab Sao Francisco,154.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-ampla-com-154-m-de-area-construida-no-bairro-colina-do-rio-petrolina-pe-1525632467
Cana no Lot. Vila Nova,250000.0,Boa Esperanca,100.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/cana-no-lot-vila-nova-1525631307
Imóvel à Venda,880000.0,Centro,200.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-a-venda-1525621058
Vende-se imóvel no centro de Petrolina ,880000.0,Centro,200.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vende-se-imovel-no-centro-de-petrolina-1525620441
"Casa à venda no Cond. Água Viva, 4 suítes, Piscina, Alto Padrão, Petrolina",2500000.0,Centro,220.0,3,2,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-cond-agua-viva-4-suites-piscina-alto-padrao-petrolina-1525595758
"Casa à venda no Alphaville, 4 suítes, closet, Gourmet, piscina, Petrolina-PE",2950000.0,Boa Esperanca,285.0,4,5,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-no-alphaville-4-suites-closet-gourmet-piscina-petrolina-pe-1525595556
CASA DE ALTO PADRÃO À VENDA NO CONDOMÍNIO BUONA VITA | 241 m²,1800000.0,Centro,241.0,4,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-de-alto-padrao-venda-no-condominio-buona-vita-241-m-1525594529
CASA À VENDA | CONDOMÍNIO ENCONTRO DAS ÁGUAS,1700000.0,Centro,200.0,4,5,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-venda-condominio-encontro-das-aguas-1525560435
Casa no Bairro Liteamento Recife,340000.0,Loteamento Recife,70.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-bairro-liteamento-recife-1525457868
"Casa de 225m² à venda no bairro Jatobá, Petrolina-PE",410000.0,Jatoba,225.0,3,2,4,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-de-225m-a-venda-no-bairro-jatoba-petrolina-pe-1509380428
Casa em Petrolina ,210000.0,Centro,,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-em-petrolina-1525383563
casa,140000.0,Joao De Deus,140.0,3,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-1525333582
Casa Residencial à Venda no Centro de Petrolina (PE),1000000.0,Vila Eulalia,472.0,,,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-residencial-a-venda-no-centro-de-petrolina-pe-1525312504
CASA A VENDA COM DUAS UNIDADES INDEPENDENTES - BAIRRO AREIA BRANCA,1750000.0,Areia Branca,375.0,5,4,3,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-com-duas-unidades-independentes-bairro-areia-branca-1525312293
"VENDO !  Casa, no bairro José de Castro!",610000.0,,143.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vendo-casa-no-bairro-jose-de-castro-1449864513
Apartamento disponivel Edifício Katharina,450000.0,Vila Eduardo,60.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-disponivel-edificio-katharina-1525261746
CASA DE ALTO PADRÃO À VENDA | CONDOMÍNIO ECO SPA,2850000.0,Centro,580.0,3,5,4,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-de-alto-padrao-venda-condominio-eco-spa-1525252202
"Casa duplex  toda na Lage ,",850000.0,Vila Moco,,4,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-duplex-toda-na-lage-1525244717
"CASA ESPAÇOSA, CONFORTÁVEL E COM EXCELENTE POTENCIAL DE VALORIZAÇÃO",330000.0,Dom Avelar,240.0,3,2,3,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-espacosa-confortavel-e-com-excelente-potencial-de-valorizacao-1525241178
"Casa na rua dois n.110 Pedro raimundo, atrás do posto de saúde tel 87- *,",250000.0,Pedro Raimundo,144.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-na-rua-dois-n-110-pedro-raimundo-atras-do-posto-de-saude-tel-87-1525233283
APARTAMENTO TODO MOBILIADO E PLANEJADO ,580000.0,Centro,62.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-todo-mobiliado-e-planejado-1508931792
Casa no Caminho do Sol,740000.0,Caminho Do Sol,190.0,4,4,4,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-caminho-do-sol-1525199265
CASA À VENDA NO ALPHAVILLE | PETROLINA,1500000.0,Centro,300.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-venda-no-alphaville-petrolina-1525153947
APARTAMENTO 3/4 COM SUÍTE NA VILA MOCÓ- PETROLINA-PE,400000.0,Vila Moco,,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-3-4-com-suite-na-vila-moco-petrolina-pe-1523715205
Casa no Jatobá,415000.0,Jatoba,125.0,3,3,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-jatoba-1518089397
Casa no Bairro Colina do Rio,650000.0,Cohab Sao Francisco,152.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-bairro-colina-do-rio-1518104790
Duplex Disponível para venda - Cond. Sol Nascente,1450000.0,Fernando Idalino,220.0,3,4,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/duplex-disponivel-para-venda-cond-sol-nascente-1515038725
Casa disponível Condomínio Alphaville,1900000.0,Boa Esperanca,200.0,3,5,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-disponivel-condominio-alphaville-1522725557
Casa no Bairro Portal da Cidade,430000.0,Portal Da Cidade,104.0,3,3,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-bairro-portal-da-cidade-1523515125
Repasso apartamento já financiado,70000.0,Joao De Deus,55.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/repasso-apartamento-ja-financiado-1525122577
Repasse unique residence ,350000.0,Centro,74.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/repasse-unique-residence-1525116820
"Casa térrea,",280000.0,Portal Da Cidade,,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-terrea-1509516165
Apartamento a venda - 1° andar - bairro Jatobá/Petrolina ,365000.0,Jatoba,,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-a-venda-1-andar-bairro-jatoba-petrolina-1525044249
Casa 5 quartos centro de Petrolina !!!!,1200000.0,Vila Moco,180.0,5,3,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-5-quartos-centro-de-petrolina--1525015429
Casa no condominio Park Jatobá - Luxo e Natureza se encontram Melhor Localização Petrolina,1230000.0,Jatoba,312.0,4,5,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condominio-park-jatoba-luxo-e-natureza-se-encontram-melhor-localizacao-petrolina-1525006192
Casa no Bairro Padre José de Castro com Piscina,600000.0,Loteamento Recife,140.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-bairro-padre-jose-de-castro-com-piscina-1514417682
Vendo 1 casa,750000.0,Caminho Do Sol,450.0,4,5,4,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vendo-1-casa-1524984736
Casa condomínio Buona Vita ,840000.0,Loteamento Recife,145.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-condominio-buona-vita-1517609135
Casa no Portal da Cidade,330000.0,Portal Da Cidade,150.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-portal-da-cidade-1524951343
Repasse Visus,80000.0,Atras Da Banca,20.0,1,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/repasse-visus-1517688771
Apartamento disponível para Venda e Locação no bairro Vila Mocó em Petrolina-PE,300000.0,Vila Moco,47.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-disponivel-para-venda-e-locacao-no-bairro-vila-moco-em-petrolina-pe-1524942760
"Apartamento padrão para Venda e Locação, Cohab São Francisco, Petrolina, PE",260000.0,Cohab Sao Francisco,54.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-padrao-para-venda-e-locacao-cohab-sao-francisco-petrolina-pe-1524942621
CASA PARA VENDA 03 QUARTOS - LOT. RECIFE,370000.0,Loteamento Recife,100.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-para-venda-03-quartos-lot-recife-1524893123
OPORTUNIDADE NA VILA MOCÓ | ÁREA CENTRAL DE PETROLINA,790000.0,Vila Moco,140.0,4,1,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/oportunidade-na-vila-moco-area-central-de-petrolina-1524845488
CASA À VENDA | ALPHAVILLE PETROLINA,1900000.0,Centro,300.0,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-venda-alphaville-petrolina-1524807187
Casa ,495000.0,Cohab Sao Francisco,200.0,4,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-1524804061
Casa térrea 5 minutos da @univasf ,450000.0,Jardim Maravilha,,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-terrea-5-minutos-da-univasf-1524799306
"Casa térrea, 3 suítes, nascente, Cond. Prime.",1200000.0,Cidade Universitaria,140.0,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-terrea-3-suites-nascente-cond-prime-1521390261
"IMÓVEL À VENDA NA VILA MANOELA, PETROLINA-PE ",250000.0,Centro,,3,2,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-venda-na-vila-manoela-petrolina-pe-1474823664
CASA PARA VENDA - RIO CLARO - 03 QUARTOS,280000.0,Rio Claro,100.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-para-venda-rio-claro-03-quartos-1524681041
CASA A VENDA - 04 QUARTOS - BAIRRO CAMINHO DO SOL,510000.0,Areia Branca,250.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-04-quartos-bairro-caminho-do-sol-1524681008
CASA A VENDA - 03 QUARTOS - BAIRRO CAMINHO DO SOL,520000.0,Caminho Do Sol,160.0,2,,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-03-quartos-bairro-caminho-do-sol-1524681049
CASA TÉRREA - 3/4 (SENDO 01 SUITE) - DOM AVELAR - PETROLINA PE ,265000.0,Dom Avelar,,3,2,,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-terrea-3-4-sendo-01-suite-dom-avelar-petrolina-pe-1449288951
